Distrito;Sitio;IDEM;X crtm;Y crtm;Nombre común;Especie;Clasificación;DAP;H;Estado Fitosanitario;Inclinación del fuste;Cercanía al tendido eléctrico (m);Afectación de Aceras;Prodecencia;Riesgo General
San Antonio;Aceras;2517;479933.7503;1103958.727;Cedro;Cedrela odorata;Árbol;59;15.1;B;B;NA;B;Nativo;ALTO
La Asunción;Aceras;6643;480982.5022;1103638.169;Lorito;Cojoba arborea;Árbol;56.9;10;B;B;NA;B;Nativo;ALTO
La Asunción;Aceras;6644;480967.0448;1103640.389;Lorito;Cojoba arborea;Árbol;57;10;B;B;0;C;Nativo;ALTO
La Ribera;Aceras;1395;479219.613;1104058.848;Laurel de la India;Ficus benjamina;Árbol;34.23;12;B;B;NA;A;Exótico;ALTO
La Asunción;Aceras;11831;481028.222;1103641.794;Roble de Sabana;Tabebuia rosea;Árbol;67.8;11;B;A;0;A;Nativo;ALTO
San Antonio;Aceras;6052;478589.7232;1103072.212;Higuerón;Ficus jimenezii;Árbol;132;14.4;B;B;NA;NA;Nativo;ALTO
La Ribera;Aceras;1365;478560.6338;1104214.998;Casuarina;Casuarina equisetifolia;Árbol;49;15;B;B;NA;B;Exótico;ALTO
La Asunción;Aceras;6596;480987.9829;1103636.175;Lorito;Cojoba arborea;Árbol;39.7;10;B;B;NA;B;Nativo;ALTO
La Asunción;Aceras;6597;480970.9916;1103640.276;Lorito;Cojoba arborea;Árbol;44.25;10;B;B;NA;C;Nativo;ALTO
La Asunción;Aceras;6649;480898.7477;1103651.263;Laurel;Cordia alliodora;Árbol;39.7;13;B;B;0;B;Nativo;ALTO
San Antonio;Aceras;3356;479010.8871;1103572.276;Palma navideña;Adonidia merrilli;Palma;24.3;15;B;A;3.4;A;Exótico;ALTO
San Antonio;Aceras;3773;479982.8102;1103769.433;Palmera múltiple;Chrysalidocarpus lutescens;Palma;12.5;7;B;B;0;A;Exótico;ALTO
San Antonio;Aceras;3875;479969.1086;1103972.828;Jacaranda;Jacaranda mimosifolia;Árbol;20;7;B;B;0.5;NA;Exótico;ALTO
San Antonio;Aceras;3876;479969.8781;1103976.478;Jacaranda;Jacaranda mimosifolia;Árbol;12.6;7;B;B;NA;NA;Exótico;ALTO
San Antonio;Aceras;3877;479971.6351;1103981.785;Jacaranda;Jacaranda mimosifolia;Árbol;17.6;7;B;B;NA;NA;Exótico;ALTO
San Antonio;Aceras;5658;479866.6588;1103937.229;Coco;Cocos nucifera;Palma;22.2;8.2;B;B;NA;A;Exótico;ALTO
San Antonio;Aceras;5736;479966.0601;1103985.082;Jacaranda;Jacaranda mimosifolia;Árbol;17.3;8.8;C;B;NA;A;Exótico;ALTO
San Antonio;Aceras;5739;479960.1452;1103974.934;Jacaranda;Jacaranda mimosifolia;Árbol;22.7;7;B;B;3;A;Exótico;ALTO
La Asunción;Aceras;10692;481484.9094;1102932.392;Palmera phenix;Phoenix roebelenii;Palma;9.999;10.8;B;C;NA;A;Exótico;ALTO
La Asunción;Aceras;10693;481492.4826;1102933.482;Palmera phenix;Phoenix roebelenii;Palma;9.999;11.8;B;C;NA;A;Exótico;ALTO
La Asunción;Aceras;10694;481501.5341;1102933.125;Palmera phenix;Phoenix roebelenii;Palma;9.999;12.8;B;C;NA;A;Exótico;ALTO
La Asunción;Aceras;10695;481507.462;1102932.686;Palmera phenix;Phoenix roebelenii;Palma;9.999;13.8;B;C;NA;A;Exótico;ALTO
La Asunción;Aceras;10696;481516.4605;1102938.095;Palmera phenix;Phoenix roebelenii;Palma;9.999;14.8;B;C;NA;A;Exótico;ALTO
La Asunción;Aceras;10697;481523.5629;1102933.892;Palmera phenix;Phoenix roebelenii;Palma;9.999;15.8;B;C;NA;A;Exótico;ALTO
La Asunción;Aceras;10698;481528.7161;1102930.145;Palmera phenix;Phoenix roebelenii;Palma;9.999;16.8;B;C;NA;A;Exótico;ALTO
San Antonio;Aceras;2304;479300.596;1103795.205;Almendro ;Terminalia catappa;Árbol;29;7.2;B;A;0;A;Exótico;ALTO
San Antonio;Aceras;2308;479314.3731;1103799.601;Almendro ;Terminalia catappa;Árbol;20.9;7.2;B;A;0;A;Exótico;ALTO
San Antonio;Aceras;2309;479321.7869;1103796.36;Almendro ;Terminalia catappa;Árbol;29.2;7.2;B;A;0;A;Exótico;ALTO
San Antonio;Aceras;2522;479986.1065;1103965.261;Cedro;Cedrela odorata;Árbol;49.2;10.6;B;A;NA;A;Nativo;ALTO
San Antonio;Aceras;2523;479999.0292;1103969.37;Caoba;Swietenia macrophylla;Árbol;44.8;11.4;B;A;NA;A;Nativo;ALTO
San Antonio;Aceras;2951;479911.3582;1103582.371;Nance;Byrsonima crassifolia;Árbol;30.15;10;B;A;NA;A;Nativo;ALTO
La Asunción;Aceras;11318;481017.9187;1103646.445;Roble de Sabana;Tabebuia rosea;Árbol;9.999;11;B;B;NA;A;Nativo;ALTO
La Asunción;Aceras;11375;481284.4259;1103827.464;Roble de Sabana;Tabebuia rosea;Árbol;9.999;13;B;B;NA;A;Nativo;ALTO
La Ribera;Aceras;1396;479215.4527;1104063.263;Laurel de la India;Ficus benjamina;Árbol;52.5;14.6;A;B;NA;A;Exótico;ALTO
La Asunción;Aceras;10313;481396.2962;1102919.857;Palmera phenix;Phoenix roebelenii;Palma;15;3;B;C;2;A;Exótico;ALTO
San Antonio;Aceras;5557;479871.6298;1104101.225;Eucalipto;Eucalyptus spp.;Árbol;9.999;3;B;C;2;A;Exótico;ALTO
San Antonio;Aceras;2489;480081.2689;1103958.896;Hisopo;Callistemon lanceolatus;Árbol;13.13;5.4;B;B;0.5;B;Exótico;ALTO
